TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD
20170226115721,3930,70,79,34,84.91,43,55
20170226115722,4105,71,79,32,86.59,43,55
20170226115723,4105,73,79,30,86.59,38,39
20170226115724,4219,73,79,30,111.44,52,55
20170226115725,4363,76,79,29,17.43,52,55
20170226115726,4363,78,79,31,17.43,20,9
20170226115727,4304,78,79,31,20.02,23,9
20170226115728,4248,78,79,32,21.7,23,13
20170226115730,4248,76,79,33,21.7,24,13
20170226115731,3757,76,79,33,10.99,25,21
20170226115732,3417,76,79,34,29.68,28,21
20170226115733,3417,76,80,34,29.68,28,21
20170226115734,3443,76,80,34,27.580000000000002,27,20
20170226115735,3456,76,80,33,32.06,29,20
20170226115736,3456,77,80,33,32.06,29,23
20170226115737,3465,77,80,33,32.13,29,22
20170226115738,3473,78,80,33,33.74,29,22
20170226115739,3473,78,80,33,33.74,29,23
20170226115740,3480,78,80,33,33.81,29,24
20170226115741,3476,78,80,33,33.53,29,24
20170226115742,3476,78,81,32,33.53,29,24
20170226115743,3474,78,80,32,33.32,29,24
20170226115744,3459,77,80,32,26.95,29,24
20170226115745,3459,78,80,32,26.95,27,18
20170226115746,3439,78,80,32,22.75,25,18
20170226115747,3399,76,80,32,19.88,25,15
20170226115748,3399,76,81,32,19.88,24,15
20170226115749,3360,76,80,32,19.11,23,15
20170226115750,3294,75,80,32,10.01,23,8
20170226115751,3294,72,80,33,10.01,17,7
20170226115752,3201,72,80,33,9.66,17,7
20170226115754,3108,71,80,34,10.71,17,7
20170226115755,3108,69,80,34,10.71,19,11
20170226115756,3051,69,80,34,19.46,24,16
20170226115757,3029,68,80,34,16.66,24,16
20170226115758,3029,67,80,34,16.66,23,14
20170226115759,2986,67,80,34,20.79,25,22
20170226115800,2975,66,80,33,33.18,25,22
20170226115801,2975,66,80,33,33.18,30,28
20170226115802,2992,66,79,33,34.300000000000004,30,28
20170226115803,3011,67,79,33,34.160000000000004,30,28
20170226115804,3011,67,79,32,34.160000000000004,30,28
20170226115805,3031,67,79,32,34.02,30,28
20170226115806,3065,68,79,32,33.32,30,27
20170226115807,3065,68,79,32,33.32,30,27
20170226115808,3095,68,79,32,32.9,29,27
20170226115809,3113,69,79,32,32.76,29,26
20170226115810,3113,70,79,32,32.76,29,26
20170226115811,3137,70,79,32,32.9,29,26
20170226115812,3164,70,79,32,32.9,29,26
20170226115813,3164,71,79,32,33.39,29,26
20170226115815,3190,71,79,32,33.11,29,26
20170226115816,3195,71,79,32,24.85,29,25
20170226115817,3195,71,79,32,24.85,26,19
20170226115818,3191,71,79,32,24.85,26,19
20170226115819,3181,71,79,32,24.85,26,20
20170226115820,3181,71,79,32,25.76,26,22
20170226115821,3187,71,79,32,34.160000000000004,29,22
20170226115822,3206,71,79,31,34.160000000000004,29,27
20170226115823,3206,71,79,31,33.53,29,26
20170226115824,3219,71,79,31,33.39,29,26
20170226115825,3230,71,79,31,33.39,29,26
20170226115826,3230,71,79,31,37.24,31,29
20170226115827,3273,72,79,31,39.34,31,29
20170226115828,3309,73,79,31,39.34,31,29
20170226115829,3309,73,79,31,39.13,31,29
20170226115830,3336,74,79,31,36.33,30,29
20170226115831,3350,75,79,31,36.33,30,25
20170226115832,3350,75,79,31,33.39,29,25
20170226115833,3356,75,79,31,33.53,29,25
20170226115834,3357,75,79,31,33.53,29,24
20170226115835,3357,75,79,31,32.69,29,25
20170226115836,3360,75,79,31,33.95,29,25
20170226115837,3360,75,79,31,33.95,29,25
20170226115839,3370,75,79,31,34.79,30,26
20170226115840,3374,75,79,31,37.45,30,26
20170226115841,3374,75,79,31,37.45,31,27
20170226115842,3378,75,80,31,38.15,31,28
20170226115843,3384,75,80,31,37.800000000000004,31,28
20170226115844,3384,76,79,30,37.800000000000004,31,28
20170226115845,3399,76,80,30,38.15,31,29
20170226115846,3407,76,80,30,37.03,31,29
20170226115847,3407,76,80,29,37.03,31,27
20170226115848,3419,76,80,29,36.89,31,27
20170226115849,3433,76,80,30,37.31,31,27
20170226115850,3433,76,80,30,37.31,31,27
20170226115851,3450,76,80,30,37.17,31,27
20170226115852,3467,77,80,30,37.31,31,27
20170226115853,3467,77,80,30,37.31,31,26
20170226115854,3473,77,80,30,37.31,31,26
20170226115855,3486,78,80,29,36.33,31,26
20170226115856,3486,78,80,29,36.33,31,26
20170226115857,3492,78,80,29,37.45,31,26
20170226115859,3501,78,80,29,35.7,31,26
20170226115900,3501,78,80,29,35.7,31,26
20170226115901,3501,78,80,29,37.94,31,27
20170226115902,3504,78,80,29,38.5,31,27
20170226115903,3504,78,80,29,38.5,31,27
20170226115904,3502,78,80,29,38.15,31,27
20170226115905,3510,78,80,28,37.59,31,27
20170226115906,3510,78,80,28,37.59,31,27
20170226115907,3519,78,80,28,43.4,33,30
20170226115908,3557,78,80,28,42.910000000000004,33,30
20170226115909,3557,80,80,28,42.910000000000004,33,31
20170226115910,3588,80,80,28,43.26,33,30
20170226115911,3609,80,80,28,43.050000000000004,32,30
20170226115912,3609,80,80,28,43.050000000000004,32,27
20170226115913,3628,80,80,28,38.85,31,27
20170226115914,3627,81,80,28,39.62,31,27
20170226115915,3627,81,80,29,39.62,31,27
20170226115916,3625,81,81,29,38.85,31,27
20170226115917,3634,81,81,29,39.2,31,27
20170226115918,3634,81,81,29,39.2,31,26
20170226115920,3614,81,81,28,18.900000000000002,23,26
20170226115921,3542,81,81,28,18.69,23,13
20170226115922,3542,79,81,28,18.69,23,14
20170226115923,3475,79,81,28,19.32,24,17
20170226115924,3443,78,81,28,64.12,24,17
20170226115925,3443,76,81,28,64.12,41,55
20170226115926,3528,76,81,28,83.79,45,58
20170226115927,3646,78,81,26,70.49,38,58
20170226115928,3646,81,81,25,70.49,38,33
20170226115929,3661,81,81,25,38.15,30,24
20170226115930,3622,82,81,27,35.42,29,24
20170226115931,3622,81,81,28,35.42,29,24
